,class,depth,Страдные_да,Тематика_общая_Сверхъестественное и ужасы,Тематика_фэнтези_Магия,Жанр_Детектив,Тематика_общая_Приключения и сокровища,Тематика_искусство_Театр,Тематика_фантастика_Наука и ученые,Жанр_Сатира/Комедия,Приключения_и_поиск_Расследования,Тематика_общая_Игры и конкурсы,Сюжет_детективы_Происшествия с реальными людьми,Тематика_фантастика_Вирусы,Локации_выживание_Шахта,Декорации_заброшенные_Дом маньяка,Декорации_магические_Страна Чудес,Декорации_заброшенные_Психиатрическая больница,Игры_и_конкурсы_Игры на автомобиле,Сюжет_детективы_Журналистское расследование,Формат_Прятки,Локации_выживание_Лабиринт,Сюжет_детективы_Расследования Шерлока Холмса,Формат_VR-квест,Декорации_магические_Лабиринт чужого разума,Тематика_фэнтези_Сказки
0,"2 Паранормальные явления с Мистикой, Заброшенным...",0,,,,,,,,,,,,,,,,,,,,,,,,
1,19 Приключения Головоломки,1,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,19 Приключения Головоломки,2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
3,19 Приключения Головоломки,3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
4,"2 Паранормальные явления с Мистикой, Заброшенным...",4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
5,"2 Паранормальные явления с Мистикой, Заброшенным...",5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6,19 Приключения Головоломки,5,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
7,19 Приключения Головоломки,4,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
8,19 Приключения Головоломки,5,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,
9,12 Опасные эксперименты (иногда с выживанием и хо...,5,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
10,19 Приключения Головоломки,3,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
11,19 Приключения Головоломки,4,0.0,0.0,1.0,,,,0.0,,,,,,,,,,,,,,,,,
12,19 Приключения Головоломки,5,0.0,0.0,1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,
13,19 Приключения Головоломки,5,0.0,0.0,1.0,,,,0.0,1.0,,,,,,,,,,,,,,,,
14,19 Приключения Головоломки,4,0.0,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
15,19 Приключения Головоломки,5,0.0,0.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,
16,"2 Паранормальные явления с Мистикой, Заброшенным...",2,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
17,"2 Паранормальные явления с Мистикой, Заброшенным...",3,0.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,
